,Year,Total Poverty Rate (%)
366,2023,21.2
367,2022,25.0
368,2021,24.3
369,20202,20.0
370,2019,18.1
371,2018,22.1
372,20173,21.8
373,2017,20.7
374,2016,21.9
375,2015,23.3
376,2014,26.6
377,20134,27.2
378,20135,27.3
379,2012,34.2
380,2011,28.6
381,20106,28.8
382,2009,27.4
383,2008,27.1
384,2007,23.7
385,2006,29.3
386,2005,26.9
387,20047,25.2
388,2003,23.8
389,2002,24.1
391,2001,21.9
392,20008,23.2
393,19999,28.6
394,1998,23.1
395,1997,25.4
396,1996,30.5
397,199510,31.0
398,199411,26.4
399,199312,23.6
400,199213,29.2
401,199114,31.3
402,1990,28.5
403,1989,23.9
404,198815,30.2
405,198715,28.8
407,2023,14.4
408,2022,12.2
409,2021,14.2
410,20202,13.1
411,2019,12.7
412,2018,15.7
413,20173,17.1
414,2017,16.6
415,2016,16.2
416,2015,17.4
417,2014,18.1
418,20134,20.2
419,20135,18.8
420,2012,19.9
421,2011,20.1
422,20106,21.0
423,2009,20.4
424,2008,17.1
425,2007,16.3
426,2006,15.9
427,2005,15.3
428,20047,16.0
429,2003,15.2
430,2002,14.7
432,2023,16.6
433,2022,16.9
434,2021,17.1
435,20202,17.0
436,2019,15.7
437,2018,17.6
438,20173,18.3
439,2017,18.3
440,2016,19.4
441,2015,21.4
442,2014,23.6
443,20134,24.7
444,20135,23.5
445,2012,25.6
446,2011,25.3
447,20106,26.5
448,2009,25.3
449,2008,23.2
450,2007,21.5
451,2006,20.6
452,2005,21.8
453,20047,21.9
454,2003,22.5
455,2002,21.8
456,2001,21.4
457,20008,21.5
458,19999,22.7
459,1998,25.6
460,1997,27.1
461,1996,29.4
462,199510,30.3
463,199411,30.7
464,199312,30.6
465,199213,29.6
466,199114,28.7
467,1990,28.1
468,1989,26.2
469,198815,26.7
470,198715,28.0
471,1986,27.3
472,198516,29.0
473,198417,28.4
474,1983,28.0
475,1982,29.9
476,198118,26.5
477,1980,25.7
478,197919,21.8
479,1978,21.6
480,1977,22.4
481,1976,24.7
482,1975,26.9
483,197420,23.0
484,1973,21.9
